Worker,Continuity
1754,1
2951,3
3368,1
3539,1
3929,20
9455,6
16427,2
18878,25
31814,6
50450,34
54497,13
58487,1
62822,12
68495,1
70121,1
76169,20
85229,12
87371,2
92813,1
93752,31
95885,2
96512,6
97910,4
100796,4
105224,15
106847,2
107840,2
113513,2
114371,1
115118,3
115355,4
116552,8
118001,1
120491,2
124964,1
126734,1
129494,1
131309,4
131744,1
132551,25
141605,4
143687,2
151421,1
151469,3
151808,12
151898,29
155453,8
159440,6
159773,1
160118,4
160139,2
163889,2
164972,29
168179,1
169196,1
169208,10
170942,29
174560,30
177734,1
182849,10
186182,1
187502,1
194294,8
195191,3
196739,1
198500,40
200114,4
200348,3
200483,10
200615,1
205241,12
206369,1
209309,5
212120,5
212432,3
212942,5
214166,1
215171,4
215963,2
217073,3
218060,3
218636,24
223220,15
223952,1
223991,34
224345,19
224594,1
226889,2
227870,26
230225,2
230531,1
232991,2
239495,5
240791,38
242156,2
242882,1
243740,1
244625,1
246815,4
249674,3
253256,13
253307,2
254180,1
256361,1
257141,4
257453,17
258476,2
261341,5
264269,1
265511,1
268841,1
269363,2
272390,4
273389,1
278876,1
279242,37
279584,1
280391,80
281669,30
284501,1
285539,5
286556,1
287309,3
288227,3
288650,1
289256,2
291167,2
294005,3
294110,2
295646,1
302453,13
304850,3
304931,1
304946,1
309884,1
311369,1
314300,1
314759,22
318464,6
318917,4
319883,5
320708,18
320960,2
321440,1
326102,11
326642,1
327584,1
330614,14
332630,29
333830,1
334850,3
340091,1
340448,10
341795,2
345731,4
352622,19
364703,12
365051,1
369455,1
372896,5
373481,3
373679,12
374615,9
374816,1
378413,2
381173,1
381749,1
383495,1
384470,2
386771,1
386942,6
387392,2
388370,2
397859,26
405353,5
406148,1
407687,4
408668,2
411197,4
411986,1
415952,15
417824,7
418415,6
421394,7
428036,1
429149,22
433160,1
434897,16
435599,12
437153,4
438380,1
443783,6
448031,1
448484,4
449012,2
449693,2
450659,4
451727,2
452627,1
453461,1
453953,2
455870,1
456611,1
457589,5
459314,2
459869,1
464258,3
465725,4
467666,9
470276,1
473315,53
473894,4
475178,22
475700,1
478829,1
479900,1
481088,6
481202,1
481733,7
482489,6
483764,4
484067,3
485264,4
485789,9
486425,1
486551,5
487499,1
487637,5
488603,1
493493,1
493901,16
496751,1
496973,2
497387,2
498914,1
501029,43
503852,6
503963,5
504545,1
504959,1
506957,1
508694,1
509366,17
509393,6
509705,1
512591,1
514259,2
517262,1
518102,26
525944,11
529241,1
530582,28
530873,9
531731,13
531773,5
535691,22
538328,31
538634,3
541295,35
542417,1
544229,4
549803,11
554402,1
555017,10
566765,1
576392,1
576653,2
589970,1
590825,1
591209,4
591776,2
591863,1
592253,47
594932,22
596675,9
600638,1
601568,5
603179,22
605738,1
609404,31
611939,1
614219,2
628481,1
628892,1
629450,1
629915,1
634799,1
637913,2
640361,1
640508,2
641312,2
643787,15
643814,10
646340,3
647828,5
647852,6
651776,1
659777,2
659882,1
660986,17
662054,7
664496,1
664787,5
664853,3
668351,6
